,Date,Close,High,Low,Open,Volume,Name
0,2024-01-01,2914.614990234375,2944.388632932154,2839.5316789934864,2849.7725963628636,2898619,Adani Enterprises Ltd.
1,2024-01-02,2929.801513671875,2945.5875621353644,2838.482600442424,2919.410826643,2671368,Adani Enterprises Ltd.
2,2024-01-03,3000.339111328125,3196.165440272618,2952.981208938819,3044.3001239483174,19725411,Adani Enterprises Ltd.
3,2024-01-04,2995.64306640625,3041.7520724163105,2987.3503727738953,3036.706498754362,2975620,Adani Enterprises Ltd.
4,2024-01-05,3003.935791015625,3064.182160871475,2978.458387908171,3007.2826760496837,3219949,Adani Enterprises Ltd.
5,2024-01-08,2960.8740234375,3024.317755675827,2950.333323076038,3017.3239584212083,1849061,Adani Enterprises Ltd.
6,2024-01-09,3011.9287109375,3066.08063284346,2977.3592741444995,2988.049743558753,2885706,Adani Enterprises Ltd.
7,2024-01-10,3095.45458984375,3109.242410242149,3017.373937297648,3021.3203883586953,3590297,Adani Enterprises Ltd.
8,2024-01-11,3078.169921875,3126.227398111759,3062.2841084092497,3117.235372997344,2008103,Adani Enterprises Ltd.
9,2024-01-12,3101.349609375,3122.2309926843545,3065.4812733764643,3093.6064765131428,1795933,Adani Enterprises Ltd.
10,2024-01-15,3086.76220703125,3127.2263175296366,3064.731698086162,3124.2289760112376,1407007,Adani Enterprises Ltd.
11,2024-01-16,3053.79150390625,3101.748969042026,3032.3105559808505,3092.2573874005707,2515564,Adani Enterprises Ltd.
12,2024-01-17,2968.417236328125,3042.3016563401,2943.68916867807,3030.3122902067403,2897218,Adani Enterprises Ltd.
13,2024-01-18,2916.313232421875,2982.3547535115554,2882.5433804361037,2972.9131766948403,2552342,Adani Enterprises Ltd.
14,2024-01-19,2913.06640625,2946.8365055653094,2900.477717199736,2942.740284843709,2014096,Adani Enterprises Ltd.
15,2024-01-23,2893.9833984375,3012.2783859168503,2882.943141123992,3012.2783859168503,1827002,Adani Enterprises Ltd.
16,2024-01-24,2900.877197265625,2926.504615094203,2868.705778547056,2898.4294170013095,5807940,Adani Enterprises Ltd.
17,2024-01-25,2891.0361328125,2923.7571136509714,2801.9149761221724,2900.877258557432,2601969,Adani Enterprises Ltd.
18,2024-01-29,3061.934326171875,3089.9595199442365,2920.4599438194828,2926.4046227592457,4402976,Adani Enterprises Ltd.
19,2024-01-30,3088.361083984375,3127.126508292027,3018.223092835006,3078.269935991576,3115506,Adani Enterprises Ltd.
20,2024-01-31,3139.2158203125,3148.9071761925156,3069.6773964876134,3090.009461575902,2671051,Adani Enterprises Ltd.
21,2024-02-01,3150.70556640625,3234.081569473812,3080.3180435553622,3154.1024559701286,4686595,Adani Enterprises Ltd.
22,2024-02-02,3154.65185546875,3205.6566643328283,3137.2173682421944,3182.1274852861575,2708695,Adani Enterprises Ltd.
23,2024-02-05,3170.637939453125,3226.5383130609043,3148.6574337759484,3167.191045302244,2191195,Adani Enterprises Ltd.
24,2024-02-06,3200.910888671875,3225.339172693272,3157.199659212836,3181.078381850465,2078891,Adani Enterprises Ltd.
25,2024-02-07,3226.988037109375,3275.0452679989044,3207.155529180089,3217.1966723787345,2095911,Adani Enterprises Ltd.
26,2024-02-08,3165.79248046875,3242.72425269725,3143.312417155227,3242.72425269725,1679004,Adani Enterprises Ltd.
27,2024-02-09,3212.350830078125,3222.0921902015743,3118.434127349486,3181.6280789195544,1572789,Adani Enterprises Ltd.
28,2024-02-12,3166.941162109375,3239.077134116157,3157.1998019609196,3226.1386583961425,1083138,Adani Enterprises Ltd.
29,2024-02-13,3175.633544921875,3191.169814941027,3089.310201035454,3177.1822202606345,1225207,Adani Enterprises Ltd.
30,2024-02-14,3204.35791015625,3252.365379721575,3167.0411539894762,3181.178517482066,1741264,Adani Enterprises Ltd.
31,2024-02-15,3190.969970703125,3249.867685365284,3181.22861033657,3216.99693615965,2035204,Adani Enterprises Ltd.
32,2024-02-16,3220.74365234375,3249.4181723707834,3189.8208821266844,3211.15206137354,2193673,Adani Enterprises Ltd.
33,2024-02-19,3255.912353515625,3305.6682734111955,3232.9327343279465,3237.1289638295348,1779444,Adani Enterprises Ltd.
34,2024-02-20,3225.7392578125,3266.90270199735,3207.3054110883286,3264.1051342728024,1467630,Adani Enterprises Ltd.
35,2024-02-21,3220.34375,3297.0757433575413,3202.159926503309,3235.1306839368845,1657021,Adani Enterprises Ltd.
36,2024-02-22,3260.158447265625,3271.0986949712815,3207.654966464661,3236.129710755034,1138722,Adani Enterprises Ltd.
37,2024-02-23,3270.3994140625,3317.007977596323,3222.242175276286,3260.1584970997724,1975035,Adani Enterprises Ltd.
38,2024-02-26,3324.80126953125,3341.036870351589,3260.1086447240536,3269.1006697937796,1695378,Adani Enterprises Ltd.
39,2024-02-27,3299.373779296875,3337.0403233837446,3270.0996941422145,3336.0412095144684,1125570,Adani Enterprises Ltd.
40,2024-02-28,3216.1474609375,3315.8590712636924,3204.657651741855,3306.2674808002253,1358879,Adani Enterprises Ltd.
