Date,Dividends,Stock Splits,name
2016-03-22 00:00:00+05:30,6.0,0.0,Apollo Hospitals Enterprise Ltd.
2017-09-07 00:00:00+05:30,6.0,0.0,Apollo Hospitals Enterprise Ltd.
2018-09-12 00:00:00+05:30,5.0,0.0,Apollo Hospitals Enterprise Ltd.
2019-09-12 00:00:00+05:30,6.0,0.0,Apollo Hospitals Enterprise Ltd.
2020-02-25 00:00:00+05:30,3.25,0.0,Apollo Hospitals Enterprise Ltd.
2020-09-17 00:00:00+05:30,2.75,0.0,Apollo Hospitals Enterprise Ltd.
2021-08-18 00:00:00+05:30,3.0,0.0,Apollo Hospitals Enterprise Ltd.
2022-08-18 00:00:00+05:30,11.75,0.0,Apollo Hospitals Enterprise Ltd.
2023-02-24 00:00:00+05:30,6.0,0.0,Apollo Hospitals Enterprise Ltd.
2023-08-18 00:00:00+05:30,9.0,0.0,Apollo Hospitals Enterprise Ltd.
2024-02-20 00:00:00+05:30,6.0,0.0,Apollo Hospitals Enterprise Ltd.
2024-08-16 00:00:00+05:30,10.0,0.0,Apollo Hospitals Enterprise Ltd.
2025-02-14 00:00:00+05:30,9.0,0.0,Apollo Hospitals Enterprise Ltd.
2025-08-19 00:00:00+05:30,10.0,0.0,Apollo Hospitals Enterprise Ltd.
2026-02-16 00:00:00+05:30,10.0,0.0,Apollo Hospitals Enterprise Ltd.
2002-07-11 00:00:00+05:30,0.366667,0.0,Asian Paints Ltd.
2002-10-21 00:00:00+05:30,0.3,0.0,Asian Paints Ltd.
2003-07-09 00:00:00+05:30,0.433333,0.0,Asian Paints Ltd.
2003-08-22 00:00:00+05:30,0.0,1.5,Asian Paints Ltd.
2003-11-07 00:00:00+05:30,0.35,0.0,Asian Paints Ltd.
2004-06-16 00:00:00+05:30,0.5,0.0,Asian Paints Ltd.
2004-11-01 00:00:00+05:30,0.4,0.0,Asian Paints Ltd.
2005-06-22 00:00:00+05:30,0.55,0.0,Asian Paints Ltd.
2005-10-31 00:00:00+05:30,0.45,0.0,Asian Paints Ltd.
2006-06-15 00:00:00+05:30,0.8,0.0,Asian Paints Ltd.
2006-11-03 00:00:00+05:30,0.55,0.0,Asian Paints Ltd.
2007-03-20 00:00:00+05:30,0.65,0.0,Asian Paints Ltd.
2007-06-13 00:00:00+05:30,0.1,0.0,Asian Paints Ltd.
2007-10-25 00:00:00+05:30,0.65,0.0,Asian Paints Ltd.
2008-06-12 00:00:00+05:30,1.05,0.0,Asian Paints Ltd.
2008-10-29 00:00:00+05:30,0.65,0.0,Asian Paints Ltd.
2009-06-17 00:00:00+05:30,1.1,0.0,Asian Paints Ltd.
2009-10-26 00:00:00+05:30,0.85,0.0,Asian Paints Ltd.
2010-06-30 00:00:00+05:30,1.85,0.0,Asian Paints Ltd.
2010-10-29 00:00:00+05:30,0.85,0.0,Asian Paints Ltd.
2011-06-09 00:00:00+05:30,2.35,0.0,Asian Paints Ltd.
2011-10-25 00:00:00+05:30,0.95,0.0,Asian Paints Ltd.
2012-06-07 00:00:00+05:30,3.05,0.0,Asian Paints Ltd.
2012-10-29 00:00:00+05:30,0.95,0.0,Asian Paints Ltd.
2013-06-06 00:00:00+05:30,3.65,0.0,Asian Paints Ltd.
2013-07-30 00:00:00+05:30,0.0,10.0,Asian Paints Ltd.
2013-10-24 00:00:00+05:30,1.1,0.0,Asian Paints Ltd.
2014-06-16 00:00:00+05:30,4.2,0.0,Asian Paints Ltd.
2014-09-22 00:00:00+05:30,1.8,0.0,Asian Paints Ltd.
2015-06-24 00:00:00+05:30,4.3,0.0,Asian Paints Ltd.
2015-10-28 00:00:00+05:30,2.2,0.0,Asian Paints Ltd.
2016-06-16 00:00:00+05:30,5.3,0.0,Asian Paints Ltd.
2016-11-01 00:00:00+05:30,2.65,0.0,Asian Paints Ltd.
2017-06-15 00:00:00+05:30,7.65,0.0,Asian Paints Ltd.
2017-10-31 00:00:00+05:30,2.65,0.0,Asian Paints Ltd.
2018-06-14 00:00:00+05:30,6.05,0.0,Asian Paints Ltd.
2018-10-29 00:00:00+05:30,2.85,0.0,Asian Paints Ltd.
2019-06-13 00:00:00+05:30,7.65,0.0,Asian Paints Ltd.
2019-10-30 00:00:00+05:30,3.35,0.0,Asian Paints Ltd.
2020-03-03 00:00:00+05:30,7.15,0.0,Asian Paints Ltd.
2020-07-23 00:00:00+05:30,1.5,0.0,Asian Paints Ltd.
2020-10-28 00:00:00+05:30,3.35,0.0,Asian Paints Ltd.
2021-06-10 00:00:00+05:30,14.5,0.0,Asian Paints Ltd.
2021-10-28 00:00:00+05:30,3.65,0.0,Asian Paints Ltd.
2022-06-09 00:00:00+05:30,15.5,0.0,Asian Paints Ltd.
2022-10-31 00:00:00+05:30,4.4,0.0,Asian Paints Ltd.
2023-06-09 00:00:00+05:30,21.25,0.0,Asian Paints Ltd.
2023-11-03 00:00:00+05:30,5.15,0.0,Asian Paints Ltd.
2024-06-11 00:00:00+05:30,28.15,0.0,Asian Paints Ltd.
2024-11-19 00:00:00+05:30,4.25,0.0,Asian Paints Ltd.
2025-06-10 00:00:00+05:30,20.55,0.0,Asian Paints Ltd.
2025-11-18 00:00:00+05:30,4.5,0.0,Asian Paints Ltd.
1999-06-16 00:00:00+05:30,0.2,0.0,Axis Bank Ltd.
2000-04-28 00:00:00+05:30,0.24,0.0,Axis Bank Ltd.
2001-06-04 00:00:00+05:30,0.3,0.0,Axis Bank Ltd.
2002-06-26 00:00:00+05:30,0.4,0.0,Axis Bank Ltd.
2003-06-09 00:00:00+05:30,0.44,0.0,Axis Bank Ltd.
2004-05-28 00:00:00+05:30,0.5,0.0,Axis Bank Ltd.
2005-05-20 00:00:00+05:30,0.56,0.0,Axis Bank Ltd.
2006-05-16 00:00:00+05:30,0.7,0.0,Axis Bank Ltd.
2007-05-17 00:00:00+05:30,0.9,0.0,Axis Bank Ltd.
2008-05-22 00:00:00+05:30,1.2,0.0,Axis Bank Ltd.
2009-05-14 00:00:00+05:30,2.0,0.0,Axis Bank Ltd.
2010-05-20 00:00:00+05:30,2.4,0.0,Axis Bank Ltd.
